,country,ISO
0,Afghanistan,AFG
1,Åland Islands,ALA
2,Albania,ALB
3,Algeria,DZA
4,American Samoa,ASM
5,Andorra,AND
6,Angola,AGO
7,Anguilla,AIA
8,Antarctica,ATA
9,Antigua and Barbuda,ATG
10,Argentina,ARG
11,Armenia,ARM
12,Aruba,ABW
13,Australia,AUS
14,Austria,AUT
15,Azerbaijan,AZE
16,Bahamas,BHS
17,Bahrain,BHR
18,Bangladesh,BGD
19,Barbados,BRB
20,Belarus,BLR
21,Belgium,BEL
22,Belize,BLZ
23,Benin,BEN
24,Bermuda,BMU
25,Bhutan,BTN
26,Bolivia,BOL
27,"Bonaire, Sint Eustatius and Saba",BES
28,Bosnia and Herzegovina,BIH
29,Botswana,BWA
30,Bouvet Island,BVT
31,Brazil,BRA
32,British Indian Ocean Territory,IOT
33,British Virgin Islands,VGB
34,Brunei Darussalam,BRN
35,Bulgaria,BGR
36,Burkina Faso,BFA
37,Burundi,BDI
38,Cabo Verde,CPV
39,Cambodia,KHM
40,Cameroon,CMR
41,Canada,CAN
42,Cayman Islands,CYM
43,Central African Republic,CAF
44,Chad,TCD
45,Chile,CHL
46,Taiwan,CHN
47,Hong Kong,HKG
48,"China, Macao Special Administrative Region",MAC
49,Christmas Island,CXR
50,Cocos (Keeling) Islands,CCK
51,Colombia,COL
52,Comoros,COM
53,Congo (Brazzaville),COG
54,Cook Islands,COK
55,Costa Rica,CRI
56,Ivory Coast,CIV
57,Croatia,HRV
58,Cuba,CUB
59,Curaçao,CUW
60,North Cyprus,CYP
61,Czech Republic,CZE
62,Democratic People's Republic of Korea,PRK
63,Congo (Kinshasa),COD
64,Denmark,DNK
65,Djibouti,DJI
66,Dominica,DMA
67,Dominican Republic,DOM
68,Ecuador,ECU
69,Egypt,EGY
70,El Salvador,SLV
71,Equatorial Guinea,GNQ
72,Eritrea,ERI
73,Estonia,EST
74,Swaziland,SWZ
75,Ethiopia,ETH
76,Falkland Islands (Malvinas),FLK
77,Faroe Islands,FRO
78,Fiji,FJI
79,Finland,FIN
80,France,FRA
81,French Guiana,GUF
82,French Polynesia,PYF
83,French Southern Territories,ATF
84,Gabon,GAB
85,Gambia,GMB
86,Georgia,GEO
87,Germany,DEU
88,Ghana,GHA
89,Gibraltar,GIB
90,Greece,GRC
91,Greenland,GRL
92,Grenada,GRD
93,Guadeloupe,GLP
94,Guam,GUM
95,Guatemala,GTM
96,Guernsey,GGY
97,Guinea,GIN
98,Guinea-Bissau,GNB
99,Guyana,GUY
100,Haiti,HTI
101,Heard Island and McDonald Islands,HMD
102,Holy See,VAT
103,Honduras,HND
104,Hungary,HUN
105,Iceland,ISL
106,India,IND
107,Indonesia,IDN
108,Iran,IRN
109,Iraq,IRQ
110,Ireland,IRL
111,Isle of Man,IMN
112,Israel,ISR
113,Italy,ITA
114,Jamaica,JAM
115,Japan,JPN
116,Jersey,JEY
117,Jordan,JOR
118,Kazakhstan,KAZ
119,Kenya,KEN
120,Kiribati,KIR
121,Kuwait,KWT
122,Kyrgyzstan,KGZ
123,Laos,LAO
124,Latvia,LVA
125,Lebanon,LBN
126,Lesotho,LSO
127,Liberia,LBR
128,Libya,LBY
129,Liechtenstein,LIE
130,Lithuania,LTU
131,Luxembourg,LUX
132,Madagascar,MDG
133,Malawi,MWI
134,Malaysia,MYS
135,Maldives,MDV
136,Mali,MLI
137,Malta,MLT
138,Marshall Islands,MHL
139,Martinique,MTQ
140,Mauritania,MRT
141,Mauritius,MUS
142,Mayotte,MYT
143,Mexico,MEX
144,Micronesia (Federated States of),FSM
145,Monaco,MCO
146,Mongolia,MNG
147,Montenegro,MNE
148,Montserrat,MSR
149,Morocco,MAR
150,Mozambique,MOZ
151,Myanmar,MMR
152,Namibia,NAM
153,Nauru,NRU
154,Nepal,NPL
155,Netherlands,NLD
156,New Caledonia,NCL
157,New Zealand,NZL
158,Nicaragua,NIC
159,Niger,NER
160,Nigeria,NGA
161,Niue,NIU
162,Norfolk Island,NFK
163,Macedonia,MKD
164,Northern Mariana Islands,MNP
165,Norway,NOR
166,Oman,OMN
167,Pakistan,PAK
168,Palau,PLW
169,Panama,PAN
170,Papua New Guinea,PNG
171,Paraguay,PRY
172,Peru,PER
173,Philippines,PHL
174,Pitcairn,PCN
175,Poland,POL
176,Portugal,PRT
177,Puerto Rico,PRI
178,Qatar,QAT
179,South Korea,KOR
180,Moldova,MDA
181,Réunion,REU
182,Romania,ROU
183,Russia,RUS
184,Rwanda,RWA
185,Saint Barthélemy,BLM
186,Saint Helena,SHN
187,Saint Kitts and Nevis,KNA
188,Saint Lucia,LCA
189,Saint Martin (French Part),MAF
190,Saint Pierre and Miquelon,SPM
191,Saint Vincent and the Grenadines,VCT
192,Samoa,WSM
193,San Marino,SMR
194,Sao Tome and Principe,STP
195,Sark,
196,Saudi Arabia,SAU
197,Senegal,SEN
198,Kosovo,SRB
199,Seychelles,SYC
200,Sierra Leone,SLE
201,Singapore,SGP
202,Sint Maarten (Dutch part),SXM
203,Slovakia,SVK
204,Slovenia,SVN
205,Solomon Islands,SLB
206,Somaliland region,SOM
207,South Africa,ZAF
208,South Georgia and the South Sandwich Islands,SGS
209,South Sudan,SSD
210,Spain,ESP
211,Sri Lanka,LKA
212,Palestinian Territories,PSE
213,Sudan,SDN
214,Suriname,SUR
215,Svalbard and Jan Mayen Islands,SJM
216,Sweden,SWE
217,Switzerland,CHE
218,Syria,SYR
219,Tajikistan,TJK
220,Thailand,THA
221,Timor-Leste,TLS
222,Togo,TGO
223,Tokelau,TKL
224,Tonga,TON
225,Trinidad and Tobago,TTO
226,Tunisia,TUN
227,Turkey,TUR
228,Turkmenistan,TKM
229,Turks and Caicos Islands,TCA
230,Tuvalu,TUV
231,Uganda,UGA
232,Ukraine,UKR
233,United Arab Emirates,ARE
234,United Kingdom,GBR
235,Tanzania,TZA
236,United States Minor Outlying Islands,UMI
237,United States,USA
238,United States Virgin Islands,VIR
239,Uruguay,URY
240,Uzbekistan,UZB
241,Vanuatu,VUT
242,Venezuela,VEN
243,Vietnam,VNM
244,Wallis and Futuna Islands,WLF
245,Western Sahara,ESH
246,Yemen,YEM
247,Zambia,ZMB
248,Zimbabwe,ZWE
249,Cyprus,CYP
250,China,CHN
251,Serbia,SRB
